
"1980","8843","8205","11549","8034","14944","9103","8309","10174","9274","10585","7358","13708","14103","17961","10902","10354","…","12724","8219","8313",
"1980M01","8016","7605","11403","7482","12550","7827","7475","8848","7549","9862","6537","12550","11551","17932","10099","9747","…","11749","8512","7892",
"1980M02","10392","9547","8490","9887","13598","10980","7482","12117","11639","11230","11158","16384","14826","19195","13509","11701","…","15260","8852","9971",
"1980M03","7902","7283","10124","7091","13173","8121","7641","9183","7894","10094","6779","12769","13154","17252","9870","9545","…","12100","8466","7801",
"1980M04","7986","7453","11051","7209","14722","8316","7903","9093","7856","9676","6566","12789","12834","17352","10209","9832","…","11964","8675","7914",
"1980M05","8168","7685","11224","7472","12810","8565","8086","9164","8058","9729","6498","12683","12042","17412","10682","9908","…","12057","8223","8078",
"1980M06","8392","7920","12257","7681","13749","8690","8294","9379","8313","9821","6701","12562","13287","19468","10113","9882","…","11907","7780","8034",
"1980M07","8734","8129","12200","7881","16545","9184","8483","10035","8755","11358","6886","14236","13750","17376","10700","10119","…","12773","8030","8224",
"1980M08","8865","8210","12054","7959","16008","9355","8629","10271","9252","10759","8215","14155","14141","17274","10773","10420","…","12893","8133","8312",
"1980M09","9065","8354","11919","8143","16067","9673","8581","10565","9859","10936","7118","14140","14601","17460","10983","10572","…","13260","7976","8416",
"1980M10","9205","8544","13023","8320","16033","9373","8737","10600","10063","10932","7236","14069","13972","17531","10805","10449","…","12899","8094","8434",
"1980M11","9292","8616","12744","8416","16136","9533","8721","10708","10194","11000","7284","13918","14809","17581","10817","10395","…","12888","7516","8259",
"1980M12","10034","9068","12058","8865","17649","9580","9286","12040","11702","11620","7301","14193","19903","19741","12237","11628","…","12892","8442","8419",
"1981","10677","9914","14751","9555","19157","10800","10764","12186","11488","12696","8501","15999","17467","18724","12463","11401","…","14502","10033","8462",
"1981M01","11269","10342","15298","10374","17266","11669","9182","13217","12356","14566","9960","15096","20507","19031","12890","11630","…","14428","9233","8289",
"1981M02","10886","9593","17388","9237","17655","11365","10037","13431","13836","12845","8386","17918","16161","19546","14223","12423","…","14249","9862","8695",
"1981M03","9745","9145","13589","8745","17248","10087","10294","10914","9775","11746","7896","15392","15312","17929","11497","10817","…","14564","10538","8050",
"1981M04","9997","9388","13656","9030","17062","10726","10323","11201","10390","11789","7939","15519","15123","18035","11534","10735","…","14539","9683","8198",
"1981M05","10222","9634","13883","9277","16809","10363","10609","11373","10588","11951","7987","15326","15553","18131","11757","10903","…","14622","9969","8294",
